Data Ulasan UMKM Banyumas — SIMANTAP UMKM;;;;;;;;
nama_umkm;kategori;lokasi;ulasan;rating;label_sentimen;produk_utama;;KETERANGAN LABEL
Nama usaha sesuai Google Maps;Pilih dari dropdown ?;Kecamatan;Copy-paste teks ulasan lengkap dari GMaps;Bintang 1–5;4-5=Positif  |  1-2=Negatif  |  3=Netral;Produk/jasa utama (opsional);;????? / ???? ? Positif
"Galery Batik ""PRINGMAS""";Fashion;Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan);"Bagus-bagus batiknya, seruu bgtt disini kita jadi tau gmn proses membatik sampe jadi kain batik. tempatnya nyaman dan adem bangettt
Asik banget berkunjung ke batik pringmas welcome banget, kita juga sekalian pelatihan membatik nih dari pringmas menyediakan paket membatik juga lohh
Pengalaman membatik dan mengenal lokasi produksi di batik Pringmas sangat seru dan menghibur. Jadi tau ternyata proses membatik sangat panjang
kita harus menghargai batik dengan menggunakannya sebaik mungkin, 
Belajar membatikk harus banget disiniii. 
Tempatnya Sejuk, ibu pendamping ramah ramah. Banyak banget pengalaman yg didapat disini
Batiknya bagus...khas banyumas
Untuk belanja batik tulis dengan desain alami dengan warna yang kalem
bisa datang ke tempat ini. Hampir semua desain menarik.  Harga bervariasi tergantung bahan dan pewarna yang dipakai. Mulai dari rp500.000 sampai dua juta.
Tempat ini juga menyediakan wisata edukasi. Rombongan pengunjung yang ingin belajar membatik tersedia pendopo di sebelah kanan galeri
Batik Banyumas yang berkualitas. Ada harga, ada kualitas, Batik tulisnya keren keren, Harganya terjangkau, batiknya bagus dan keren
asli tulis/handmade,,tempatnya nyaman dengan pemandangan sungai serayu
cocok untuk wisata edukasi batik
Pilihan batiknya banyak dan bagus2..harganya sesuai sama kebagusan motif batiknya. Lokasi galerinya agak terpencil tapi cukup luas parkir maupun galerinya itu sendiri
Buat yang nyari batik Banyumas yg original (asli lukisan dan pewarnaan orang Banyumas)  tempat ini salah satu yg recomended. Sering bawa tamu dr dalam dan luar negeri
 rata2 komentarnya puas. Bisa terima non tunai juga... Ada mesin EDC nya juga. Ada toilet. Bisa melihat orang produksi sambil memandangi indahnya sungai serayu.
";4,6;Positif;Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.;;??    / ?   ? Negatif
Nopia & Mino Pak Narwan;Kuliner;Kecamatan Banyumas (Desa Pekunden);"Jangan sampai kelupaan ketika berkunjung ke daerah ini, belilah oleh-oleh untuk saudara-saudara Anda. Nopia ini sangat enak dan harganyapun tidak mahal seperti oleh-oleh pada umumnya. Dijamin khalal makanan ini. Kemasannya bagus dan mudah dibawa kemana-mana. Hanya saja untuk tempat penjual ini kurang bisa dilihat dalam keadaan lalu lintas ramai. Mungkin karna plang toko yang kecil atau belum sebuming oleh-oleh yang lain.
nak sayang tempt jualan dirumah,  jadi kalu yg gak tahu susah nyari,  kadang pintu ditutup lagi,  walaupun kalau diketuk ya dibukakan,  tapi barang selslu baru
Bisa liat langsung pembuatan nya..menarik, pelayanan nya baik
Tempat produksi sekaligus belanja nopia & mino yang legendaris di kota Banyumas, jajanan yang recommended untuk oleh - oleh bila berkunjung ke tempat saudara. Ada berbagai varian rasa, rasa gula jawa, rasa duren dan lainya, harganya cukup terjangkau, packingnya bagus. Lokasinya berada di pinggir jalan sehingga mudah di akses.
Ga suka dgn pelayqnan ga ramah,sombong mentang lg rame
Citarasa nopia dan mino yg khas dan enak, ownernya juga baik banget, kita bawa rombongan anak2 kesana untuk melihat pembuatanya juga disambut dengan baik. Trimakasih atas sambutan hangatnya
Makanan khas yang saya sukai sejak kecil. Enak, manis, dan unik karena kopong bagian dalamnya. Baru tau kalo ternyata makanan khas dari Banyumas. Benar-benar legend makanan khas yang satu ini. Hampir di setiap toko oleh-oleh di berbagai kota selalu ada nopia. Generasi kedua yang sekarang menghandle nopia pak Narwan. Semoga sukses, berkah dunia akhirat.
Tempat pembuatan nopia dan mino Pak Narwan. Recommended kalau mau beli yang fresh from the traditional oven.
Nopia nya top markotop. Fresh from the oven. Ada rasa duren, gula aren, coklat, nanas, brambang! Wah rasa nanas nya ok bgt. Cuma ada di Jogja dan Bandung. Kalo di Jakarta biasanya cuma ada rasa gula aren n coklat. Wajib banget kalo k Purwokerto, mampir ke Pak Narwan di Banyumas. Cuma 15 km dari Purwokerto alias 30 - 40 menit dg mobil. Yang melayani juga ramah. Harus lah ke Nopia pak Narwan. Oleh2 yg pas.
Tempat oleh oleh ter favorit walaupun sederhana dan hanya rumahan, produk produknya sangat berkualitas baik dan enak
Nyaman menyenangkan dan unik,makanan spesifik dan super enaaak.";4,5;Positif;Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.;;
Getuk Goreng ASLI H. Tohirin 5;Kuliner;Sokaraja, Banyumas;"getuk goreng di sini enak dan kualitasnya konsisten.
Pelayanannya ramah, cepat, dan membuat pelanggan nyaman.
Tempatnya bersih sehingga saya merasa nyaman saat berkunjung.
Harga masih sesuai dengan kualitas getuk goreng yang diberikan.
Lokasinya mudah ditemukan dan cocok untuk dikunjungi lagi.
Pilihan produknya cukup lengkap dan tertata rapi.
Pesanan saya sesuai harapan, tidak ada masalah berarti.
Karyawan memberi informasi dengan jelas dan sopan.
Pengalaman membeli getuk goreng di sini sangat memuaskan.
Produk yang saya beli terlihat fresh dan layak direkomendasikan.";5;Positif;Getuk goreng & camilan;;
Getuk Goreng ASLI H. Tohirin 5;Kuliner;Sokaraja, Banyumas;"Pelayanannya cukup baik, tetapi masih bisa dibuat lebih cepat.
Kualitas getuk goreng standar, tidak buruk tetapi belum terlalu istimewa.
Tempatnya cukup nyaman, namun area parkir terasa terbatas.
Harga masih wajar, tetapi beberapa menu/produk terasa agak mahal.
Pilihan produknya lumayan lengkap, hanya saja stok tertentu sering habis.
Lokasi mudah dicari, tetapi akses masuknya agak sempit saat ramai.
Rasa/kualitas getuk goreng cukup oke, namun belum terlalu konsisten.
Penyajian cukup rapi, tetapi waktu tunggu masih perlu diperbaiki.
Staf cukup ramah, meskipun responsnya kadang kurang cepat.
Produk sesuai deskripsi, hanya kemasannya bisa dibuat lebih menarik.
Tempatnya bersih, tetapi suasananya agak padat pada jam ramai.
Pengalaman belanja biasa saja, masih sesuai dengan ekspektasi awal.
Variasi produk cukup banyak, namun penataan rak/menu kurang jelas.
Kualitasnya masih bisa diterima, tetapi perlu peningkatan kecil.
Secara umum cukup memuaskan, walaupun belum sampai sangat bagus.
Informasi harga tersedia, tetapi sebaiknya dibuat lebih mudah dibaca.
Pesanan datang sesuai, tetapi tidak terlalu cepat.
Produk utama cukup enak/baik, namun rasa atau tampilannya biasa saja.
Tempat ini layak dicoba, tetapi masih ada beberapa hal yang perlu diperbaiki.
Saya tidak kecewa, tetapi juga belum merasa sangat puas.";3;Netral;Getuk goreng & camilan;;
Getuk Goreng ASLI H. Tohirin 5;Kuliner;Sokaraja, Banyumas;"Pelayanan terasa lambat dan kurang sigap saat pelanggan ramai.
Kualitas getuk goreng kurang sesuai dengan ekspektasi saya.
Harga terasa kurang sebanding dengan porsi atau kualitas produk.
Tempatnya kurang nyaman karena terlalu ramai dan ruangnya sempit.
Pesanan datang cukup lama sehingga pengalaman kurang menyenangkan.
Ada produk yang terlihat kurang fresh saat saya beli.
Karyawan kurang informatif ketika ditanya mengenai produk.
Kebersihan area tertentu masih perlu diperhatikan lagi.
Kemasan kurang rapi sehingga produk terlihat kurang menarik.
Stok produk yang saya cari kosong tetapi informasinya tidak jelas.
Rasa/kualitas getuk goreng menurut saya menurun dibanding sebelumnya.
Antrean tidak tertata sehingga pelanggan harus menunggu terlalu lama.
Pelayanan kurang ramah dan membuat saya kurang nyaman.
Produk yang diterima tidak sesuai dengan harapan awal.
Tempat parkir sulit dan membuat kunjungan terasa merepotkan.
Penyajian kurang rapi dan perlu ditingkatkan lagi.
Harga beberapa item terasa mahal untuk kualitas yang biasa saja.
Respons pegawai lambat ketika ada keluhan dari pelanggan.
Pengalaman kali ini kurang memuaskan dan perlu banyak perbaikan.
Saya berharap kualitas dan pelayanan bisa lebih konsisten ke depannya.";2;Negatif;Getuk goreng & camilan;;
"Galery Batik ""PRINGMAS""";Fashion;"Kecamatan Banyumas
(Dusun Kalisuren, Desa Papringan)";"batik di sini enak dan kualitasnya konsisten.
Pelayanannya ramah, cepat, dan membuat pelanggan nyaman.
Tempatnya bersih sehingga saya merasa nyaman saat berkunjung.
Harga masih sesuai dengan kualitas batik yang diberikan.
Lokasinya mudah ditemukan dan cocok untuk dikunjungi lagi.
Pilihan produknya cukup lengkap dan tertata rapi.
Pesanan saya sesuai harapan, tidak ada masalah berarti.
Karyawan memberi informasi dengan jelas dan sopan.
Pengalaman membeli batik di sini sangat memuaskan.
Produk yang saya beli terlihat fresh dan layak direkomendasikan.";5;Positif;Batik Banyumasan, kain batik, pakaian batik, dan suvenir berbahan kain;;
"Galery Batik ""PRINGMAS""";Fashion;"Kecamatan Banyumas
(Dusun Kalisuren, Desa Papringan)";"Pelayanannya cukup baik, tetapi masih bisa dibuat lebih cepat.
Kualitas batik standar, tidak buruk tetapi belum terlalu istimewa.
Tempatnya cukup nyaman, namun area parkir terasa terbatas.
Harga masih wajar, tetapi beberapa menu/produk terasa agak mahal.
Pilihan produknya lumayan lengkap, hanya saja stok tertentu sering habis.
Lokasi mudah dicari, tetapi akses masuknya agak sempit saat ramai.
Rasa/kualitas batik cukup oke, namun belum terlalu konsisten.
Penyajian cukup rapi, tetapi waktu tunggu masih perlu diperbaiki.
Staf cukup ramah, meskipun responsnya kadang kurang cepat.
Produk sesuai deskripsi, hanya kemasannya bisa dibuat lebih menarik.
Tempatnya bersih, tetapi suasananya agak padat pada jam ramai.
Pengalaman belanja biasa saja, masih sesuai dengan ekspektasi awal.
Variasi produk cukup banyak, namun penataan rak/menu kurang jelas.
Kualitasnya masih bisa diterima, tetapi perlu peningkatan kecil.
Secara umum cukup memuaskan, walaupun belum sampai sangat bagus.
Informasi harga tersedia, tetapi sebaiknya dibuat lebih mudah dibaca.
Pesanan datang sesuai, tetapi tidak terlalu cepat.
Produk utama cukup enak/baik, namun rasa atau tampilannya biasa saja.
Tempat ini layak dicoba, tetapi masih ada beberapa hal yang perlu diperbaiki.
Saya tidak kecewa, tetapi juga belum merasa sangat puas.";3;Netral;Batik Banyumasan, kain batik, pakaian batik, dan suvenir berbahan kain;;
"Galery Batik ""PRINGMAS""";Fashion;"Kecamatan Banyumas
(Dusun Kalisuren, Desa Papringan)";"Pelayanan terasa lambat dan kurang sigap saat pelanggan ramai.
Kualitas batik kurang sesuai dengan ekspektasi saya.
Harga terasa kurang sebanding dengan porsi atau kualitas produk.
Tempatnya kurang nyaman karena terlalu ramai dan ruangnya sempit.
Pesanan datang cukup lama sehingga pengalaman kurang menyenangkan.
Ada produk yang terlihat kurang fresh saat saya beli.
Karyawan kurang informatif ketika ditanya mengenai produk.
Kebersihan area tertentu masih perlu diperhatikan lagi.
Kemasan kurang rapi sehingga produk terlihat kurang menarik.
Stok produk yang saya cari kosong tetapi informasinya tidak jelas.
Rasa/kualitas batik menurut saya menurun dibanding sebelumnya.
Antrean tidak tertata sehingga pelanggan harus menunggu terlalu lama.
Pelayanan kurang ramah dan membuat saya kurang nyaman.
Produk yang diterima tidak sesuai dengan harapan awal.
Tempat parkir sulit dan membuat kunjungan terasa merepotkan.
Penyajian kurang rapi dan perlu ditingkatkan lagi.
Harga beberapa item terasa mahal untuk kualitas yang biasa saja.
Respons pegawai lambat ketika ada keluhan dari pelanggan.
Pengalaman kali ini kurang memuaskan dan perlu banyak perbaikan.
Saya berharap kualitas dan pelayanan bisa lebih konsisten ke depannya.";2;Negatif;Batik Banyumasan, kain batik, pakaian batik, dan suvenir berbahan kain;;
Nopia & Mino Pak Narwan;Kuliner;"Kecamatan Banyumas
(Desa Pekunden)";"nopia dan mino di sini enak dan kualitasnya konsisten.
Pelayanannya ramah, cepat, dan membuat pelanggan nyaman.
Tempatnya bersih sehingga saya merasa nyaman saat berkunjung.
Harga masih sesuai dengan kualitas nopia dan mino yang diberikan.
Lokasinya mudah ditemukan dan cocok untuk dikunjungi lagi.
Pilihan produknya cukup lengkap dan tertata rapi.
Pesanan saya sesuai harapan, tidak ada masalah berarti.
Karyawan memberi informasi dengan jelas dan sopan.
Pengalaman membeli nopia dan mino di sini sangat memuaskan.
Produk yang saya beli terlihat fresh dan layak direkomendasikan.";5;Positif;Nopia dan mino dengan isian gula jawa serta varian rasa lain;;
